City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,invercargill,-46.4,168.35,6.68,81,94,4.02,NZ,1714148870
84,camana,-16.6228,-72.7111,21.83,75,13,4.14,PE,1714148870
85,essaouira,31.5125,-9.77,23.72,38,0,7.72,MA,1714148624
86,gizo,-8.103,156.8419,28.29,78,93,0.9,SB,1714148871
87,badger,64.8,-147.5333,4.93,63,75,1.54,US,1714148871
88,ostrogozhsk,50.8664,39.0756,20.25,56,100,1.59,RU,1714148871
89,anadyr,64.75,177.4833,-1.72,100,100,4.0,RU,1714148871
90,puerto natales,-51.7236,-72.4875,5.25,65,75,6.17,CL,1714148871
91,abeche,13.8292,20.8324,40.3,7,46,3.97,TD,1714148871
92,taguatinga,-12.3857,-46.5711,34.18,36,32,2.51,BR,1714148871
93,tiksi,71.6872,128.8694,-15.44,93,100,3.61,RU,1714148872
94,arteche,12.2645,125.4048,27.02,90,81,2.99,PH,1714148872
95,stettler,52.3168,-112.7186,3.86,70,100,5.14,CA,1714148872
96,sitka,57.0531,-135.33,6.94,81,75,1.54,US,1714148872
97,brody,50.0879,25.1503,13.18,56,15,2.28,UA,1714148651
98,bethel,41.3712,-73.414,16.23,34,0,3.6,US,1714148872
99,gazojak,41.1875,61.4036,24.11,30,17,7.08,TM,1714148873
100,college,64.8569,-147.8028,4.97,65,75,1.54,US,1714148873
101,kushiro,42.975,144.3747,11.53,71,4,2.57,JP,1714148873
102,kusheriki,10.5328,6.4422,39.21,22,65,2.05,NG,1714148873
103,port-vila,-17.7338,168.3219,25.0,85,88,4.23,VU,1714148873
104,kursk,51.7303,36.1939,16.78,72,0,3.0,RU,1714148873
105,palmer,42.1584,-72.3287,14.52,20,20,2.24,US,1714148810
106,vorgashor,67.5833,63.95,-1.78,97,100,3.1,RU,1714148585
107,utrik,11.2278,169.8474,26.79,77,19,8.4,MH,1714148874
108,struthers,41.0526,-80.6078,18.72,52,0,3.09,US,1714148874
109,hamilton,39.1834,-84.5333,20.5,44,0,3.09,US,1714148608
110,lompoc,34.6391,-120.4579,17.79,65,20,6.69,US,1714148874
111,stephenville,32.2207,-98.2023,25.48,83,100,4.63,US,1714148670
112,quellon,-43.1167,-73.6167,8.88,65,31,5.99,CL,1714148875
113,ambato boeny,-16.4667,46.7167,27.18,70,92,0.29,MG,1714148875
114,afaahiti,-17.75,-149.2833,24.93,84,85,6.01,PF,1714148875
115,aykhal,66.0,111.5,-8.85,96,100,3.39,RU,1714148875
116,recreo,-29.2818,-65.061,23.31,65,58,3.8,AR,1714148875
117,whitehorse,60.7161,-135.0538,6.17,59,20,2.06,CA,1714148694
118,lianzhou,24.7811,112.3825,22.96,95,0,0.33,CN,1714148876
119,ostersund,63.1792,14.6357,2.56,93,75,2.57,SE,1714148876
120,bredasdorp,-34.5322,20.0403,16.64,75,28,8.78,ZA,1714148876
121,santarem,-2.4431,-54.7083,28.07,78,75,4.12,BR,1714148648
122,tual,-5.6667,132.75,28.51,81,45,6.54,ID,1714148668
123,albany,42.6001,-73.9662,14.26,28,8,1.34,US,1714148876
124,hotan,37.0997,79.9269,23.3,12,67,1.83,CN,1714148877
125,miles city,46.4083,-105.8406,17.54,31,0,7.72,US,1714148877
126,guymon,36.6828,-101.4816,21.0,37,0,4.12,US,1714148877
127,springfield,37.2153,-93.2982,15.12,96,100,13.89,US,1714148815
128,avarua,-21.2078,-159.775,25.03,88,40,4.63,CK,1714148877
129,hawaiian paradise park,19.5933,-154.9731,19.94,95,75,1.54,US,1714148877
130,llanes,43.4198,-4.7549,12.02,89,100,5.07,ES,1714148878
131,kapuskasing,49.4169,-82.4331,12.05,28,20,7.2,CA,1714148878
132,weno,7.4515,151.8468,28.97,94,75,4.12,FM,1714148878
133,saint-philippe,-21.3585,55.7679,25.77,83,56,4.35,RE,1714148878
134,uturoa,-16.7333,-151.4333,27.98,79,20,6.52,PF,1714148878
135,pekanbaru,0.5333,101.45,25.18,100,40,2.57,ID,1714148878
136,bocas del toro,9.3333,-82.25,27.25,75,99,1.2,PA,1714148879
137,sampacho,-33.3839,-64.7221,18.17,71,87,4.22,AR,1714148879
138,saipan,15.1355,145.701,28.39,74,40,7.72,MP,1714148879
139,bamyan,34.75,67.25,3.36,90,100,2.23,AF,1714148779
140,alice springs,-23.7,133.8833,5.75,70,10,0.0,AU,1714148879
141,puerto aysen,-45.4,-72.7,4.75,98,100,2.41,CL,1714148588
142,fale old settlement,-9.3852,-171.2468,29.15,76,25,5.22,TK,1714148880
143,coahuayana de hidalgo,18.7,-103.6583,29.51,55,24,2.51,MX,1714148631
144,kerikeri,-35.2268,173.9474,13.68,68,68,3.04,NZ,1714148880
145,usogorsk,63.4106,48.6872,3.7,100,100,0.75,RU,1714148880
146,tangalle,6.024,80.7911,28.21,78,96,2.13,LK,1714148689
147,kaa-khem,51.6833,94.7333,3.56,70,66,3.1,RU,1714148881
148,mata-utu,-13.2816,-176.1745,29.24,75,10,5.3,WF,1714148881
149,udachny,66.4167,112.4,-6.42,91,96,1.55,RU,1714148649
150,port elizabeth,-33.918,25.5701,18.39,77,40,3.6,ZA,1714148881
151,le port,-20.9373,55.2919,26.0,84,78,1.79,RE,1714148882
152,bamboo flat,11.7,92.7167,30.05,79,40,1.03,IN,1714148660
153,kedrovyy,56.1667,91.8167,2.23,97,100,0.84,RU,1714148710
154,tolanaro,-25.0319,46.9987,24.03,90,18,5.04,MG,1714148882
155,mitu,1.1983,-70.1733,28.15,81,100,0.62,CO,1714148882
156,saldanha,-33.0117,17.9442,27.03,41,0,7.53,ZA,1714148883
157,onega,63.9061,38.1404,5.41,98,93,0.43,RU,1714148883
158,constitucion,-35.3333,-72.4167,15.92,66,72,2.67,CL,1714148883
159,sydney,-33.8679,151.2073,14.28,83,11,2.57,AU,1714148119
160,constantia,44.1833,28.65,16.5,67,44,4.57,RO,1714148645
161,buka,40.8108,69.1986,18.84,40,100,2.61,UZ,1714148883
162,dudinka,69.4058,86.1778,-4.62,88,100,4.02,RU,1714148708
163,yunak,38.8142,31.7322,20.72,20,30,5.02,TR,1714148884
164,ta`u,-14.2336,-169.5144,28.14,79,38,7.79,AS,1714148884
165,san patricio,28.017,-97.5169,27.4,67,99,8.73,US,1714148884
166,laramie,41.3114,-105.5911,10.85,55,100,9.77,US,1714148884
167,petropavlovsk-kamchatsky,53.0452,158.6483,5.43,94,75,5.0,RU,1714148884
168,akrehamn,59.2667,5.1833,10.0,66,75,4.12,NO,1714148884
169,portage la prairie,49.9728,-98.2926,11.17,72,100,5.66,CA,1714148860
170,guerrero negro,27.9769,-114.0611,17.41,58,100,8.6,MX,1714148885
171,karratha,-20.7377,116.8463,26.71,70,85,1.81,AU,1714148885
172,eten,-6.9081,-79.8642,27.14,57,20,4.63,PE,1714148622
173,kowon-up,39.4381,127.2431,14.15,66,1,3.0,KP,1714148885
174,geraldton,-28.7667,114.6,15.23,88,0,2.06,AU,1714148886
175,iqaluit,63.7506,-68.5145,-11.15,62,40,7.72,CA,1714148607
176,guiping,23.3925,110.0814,25.47,88,1,2.22,CN,1714148886
177,howard springs,-12.497,131.047,26.95,83,93,2.26,AU,1714148690
178,kayangel,8.0823,134.7173,28.68,81,99,6.78,PW,1714148645
179,broome,42.2506,-75.833,15.39,32,0,3.6,US,1714148886
180,nuuk,64.1835,-51.7216,3.34,87,75,5.66,GL,1714148887
181,ribeira grande,38.5167,-28.7,17.22,63,75,5.36,PT,1714148887
182,chachersk,52.9164,30.9179,10.95,78,99,4.19,BY,1714148887
183,mopti,14.6667,-4.0,44.02,9,20,2.06,ML,1714148887
184,mokhsogollokh,61.4681,128.9203,-11.54,94,60,2.0,RU,1714148727
185,nadym,65.5333,72.5167,-1.69,91,100,4.32,RU,1714148888
186,laojunmiao,39.8333,97.7333,8.72,50,55,2.31,CN,1714148888
187,fortuna,40.5982,-124.1573,11.48,97,100,3.09,US,1714148888
188,yaren,-0.5472,166.916,28.59,80,100,6.64,NR,1714148888
189,el obeid,13.1842,30.2167,36.54,7,79,3.59,SD,1714148888
190,nilsia,63.2,28.0833,2.92,97,100,3.01,FI,1714148888
191,rockland,41.1668,-74.0496,15.73,39,1,0.89,US,1714148889
192,luderitz,-26.6481,15.1594,18.24,75,0,3.38,NA,1714148889
193,hithadhoo,-0.6,73.0833,29.71,75,82,2.79,MV,1714148889
194,kem',64.9555,34.5793,0.14,99,100,1.32,RU,1714148889
195,tippi,7.2,35.45,19.41,98,100,1.31,ET,1714148889
196,edson,53.5835,-116.4356,2.08,69,100,0.0,CA,1714148889
197,jalingo,8.8833,11.3667,33.43,45,45,3.25,NG,1714148890
198,nagqu,31.5,92.0,-0.85,70,100,3.53,CN,1714148626
199,mount pearl,47.5166,-52.7813,7.4,61,75,5.66,CA,1714148890
200,isiro,2.7739,27.616,26.52,56,87,0.33,CD,1714148791
201,prince rupert,54.3161,-130.3201,9.05,84,0,2.06,CA,1714148890
202,linfen,36.0889,111.5189,23.99,33,68,2.04,CN,1714148890
203,alaghsas,17.0187,8.0168,42.94,6,0,1.03,NE,1714148891
204,narvik,68.4384,17.4272,6.67,58,82,1.69,NO,1714148891
